,datetime,funding_rates,BTC_price
221,2022-12-29,9.6e-05,16630.5931551724
222,2022-12-30,8.6e-05,16593.6888287551
223,2022-12-31,0.000118,16524.2178024547
224,2023-01-01,0.000128,16606.7520432496
225,2023-01-02,2.4e-05,16688.7192729398
226,2023-01-03,9.2e-05,16670.0773836937
227,2023-01-04,8.8e-05,16848.3660391584
228,2023-01-05,4.1e-05,16824.8001826417
229,2023-01-06,4.2e-05,16957.8622738165
230,2023-01-07,1.1e-05,16942.6285891292
231,2023-01-08,6.9e-05,17059.2399444769
232,2023-01-09,7.1e-05,17182.3198521333
233,2023-01-10,-2.8e-05,17433.9146320865
234,2023-01-11,-0.00012,17833.7107656341
235,2023-01-12,-3.6e-05,18869.7044842198
236,2023-01-13,-2.5e-05,19868.7247454705
237,2023-01-14,-8.1e-05,21010.9227200468
238,2023-01-15,0.00019,20876.0085561075
239,2023-01-16,8.1e-05,21180.4119485681
240,2023-01-17,8.6e-05,21178.2993962595
241,2023-01-18,1.5e-05,20709.6686040327
242,2023-01-19,9.1e-05,21071.8334152542
243,2023-01-20,6e-06,22660.7169421391
244,2023-01-21,7e-05,22803.172761543
245,2023-01-22,9.2e-05,22716.2771966686
246,2023-01-23,8.5e-05,22929.0248936295
247,2023-01-24,9.6e-05,22611.1268787259
248,2023-01-25,8.1e-05,23109.0845189947
249,2023-01-26,0.000109,23008.6894766219
250,2023-01-27,8.7e-05,23070.4964582116
251,2023-01-28,7.6e-05,23008.8094649328
252,2023-01-29,8.1e-05,23774.9963679135
253,2023-01-30,0.000112,22799.427261543
254,2023-01-31,9.5e-05,23130.0519132087
255,2023-02-01,9.5e-05,23727.2026075395
256,2023-02-02,0.000111,23505.6048430742
257,2023-02-03,9.4e-05,23445.8131773816
258,2023-02-04,8.3e-05,23355.5243863238
259,2023-02-05,8.6e-05,22957.2251905319
260,2023-02-06,0.000106,22745.1650371128
261,2023-02-07,9.1e-05,23266.2692036821
262,2023-02-08,9.7e-05,22937.5799453536
263,2023-02-09,9.5e-05,21818.1989456458
264,2023-02-10,0.00011,21620.5667837522
265,2023-02-11,6.2e-05,21864.8626414378
266,2023-02-12,5.3e-05,21772.1373252484
267,2023-02-13,4e-06,21798.7157168323
268,2023-02-14,9.3e-05,22222.415043834
269,2023-02-15,2.3e-05,24304.6129827586
270,2023-02-16,0.000118,23742.4488354763
271,2023-02-17,7.5e-05,24607.3356054939
272,2023-02-18,0.000104,24636.5266127995
273,2023-02-19,7e-05,24366.9907606663
274,2023-02-20,8.5e-05,24797.8430359439
275,2023-02-21,0.0001,24400.3893898305
276,2023-02-22,9.9e-05,24163.7389812975
277,2023-02-23,0.000101,23910.0342104033
278,2023-02-24,6.5e-05,23175.8242036821
279,2023-02-25,4e-05,23159.8154403857
280,2023-02-26,8e-05,23542.0964281122
281,2023-02-27,8.5e-05,23504.1894178843
282,2023-02-28,4.8e-05,23145.9491277031
283,2023-03-01,3.1e-05,23610.6590902981
284,2023-03-02,8.4e-05,23470.0254815897
285,2023-03-03,9.7e-05,22350.0962340736
286,2023-03-04,2.6e-05,22334.2852638808
287,2023-03-05,4.8e-05,22419.8171390999
288,2023-03-06,3.3e-05,22414.7033056692
289,2023-03-07,0.0,22174.6484725307
290,2023-03-08,5.3e-05,21701.3846227352
291,2023-03-09,9.9e-05,20349.8141732905
292,2023-03-10,-2.4e-05,20240.406694623
293,2023-03-11,5.2e-05,20585.2343290473
294,2023-03-12,1.7e-05,22065.9800359439
295,2023-03-13,0.000103,24154.4290946815
296,2023-03-14,0.000211,24769.0175691409
297,2023-03-15,0.000106,24409.8017518995
298,2023-03-16,9.2e-05,25043.2388468732
299,2023-03-17,4.2e-05,27450.6282933957
300,2023-03-18,8.9e-05,26985.7359915254
301,2023-03-19,9.5e-05,28185.2043319696
302,2023-03-20,8.4e-05,27834.3361090006
303,2023-03-21,6.9e-05,28172.7950558153
304,2023-03-22,-1.2e-05,27341.5571297487
305,2023-03-23,-8e-06,28387.8897495617
306,2023-03-24,9.3e-05,27464.1249453536
307,2023-03-25,3.6e-05,27488.954880187
308,2023-03-26,2e-06,28049.3916911163
309,2023-03-27,4.7e-05,27154.9963702513
310,2023-03-28,-0.0,27283.9634029807
311,2023-03-29,2.3e-05,28389.2917784921
312,2023-03-30,6.4e-05,28021.5583009936
313,2023-03-31,1.5e-05,28514.6813062537
314,2023-04-01,5.8e-05,28494.5638863238
315,2023-04-02,3.1e-05,28161.9980362361
316,2023-04-03,4.5e-05,27850.9799436002
317,2023-04-04,-4.5e-05,28113.9585187025
318,2023-04-05,-1e-06,28190.3116063705
319,2023-04-06,1.6e-05,28049.0744763296
320,2023-04-07,2.8e-05,27936.8042609585
321,2023-04-08,1.9e-05,27964.0512498539
322,2023-04-09,2.6e-05,28357.8072703098
323,2023-04-10,7.3e-05,29687.5651846873
324,2023-04-11,7.7e-05,30247.0959193454
325,2023-04-12,9.4e-05,29913.0035463472
326,2023-04-13,6.2e-05,30370.82207218
327,2023-04-14,2e-05,30458.9700414962
328,2023-04-15,-2.9e-05,30342.0591084161
329,2023-04-16,0.000107,30312.9308533022
330,2023-04-17,9.3e-05,29469.5050727645
331,2023-04-18,3.9e-05,30366.8723813559
332,2023-04-19,0.000107,28796.7440952659
333,2023-04-20,7e-05,28251.2763790181
334,2023-04-21,8.6e-05,27292.0211052016
335,2023-04-22,9e-05,27827.5475920514
336,2023-04-23,2.9e-05,27604.6855742256
337,2023-04-24,6.7e-05,27520.1996729982
338,2023-04-25,5.5e-05,28302.6942180012
339,2023-04-26,3.4e-05,28384.2340333139
340,2023-04-27,3.4e-05,29465.5514272355
341,2023-04-28,3.4e-05,29350.811886616
342,2023-04-29,1.9e-05,29221.5145075979
343,2023-04-30,2.1e-05,29362.0867974868
344,2023-05-01,3.5e-05,28114.9531873174
345,2023-05-02,4.5e-05,28690.5809959088
346,2023-05-03,3.2e-05,29045.0427735243
347,2023-05-04,9.6e-05,28855.8574465225
348,2023-05-05,2.7e-05,29552.9695236704
349,2023-05-06,9.3e-05,28899.4629602572
350,2023-05-07,3.8e-05,28761.738434249
351,2023-05-08,3.7e-05,27727.2854091175
352,2023-05-09,5.9e-05,27642.4281092928
353,2023-05-10,5.3e-05,27646.004902104
354,2023-05-11,-1e-06,26986.271065751
355,2023-05-12,3.1e-05,26773.3443591467
356,2023-05-13,2.1e-05,26841.3982913501
357,2023-05-14,1.7e-05,26918.261597896
358,2023-05-15,4.3e-05,27231.6216052016
359,2023-05-16,6.1e-05,27025.7181864407
360,2023-05-17,9.4e-05,27401.0440610754
361,2023-05-18,6.8e-05,26843.2350938048
362,2023-05-19,3.6e-05,26889.503631502
363,2023-05-20,5.6e-05,27100.8582878434
364,2023-05-21,2e-05,26777.0977831677
365,2023-05-22,3.8e-05,26858.7370637054
366,2023-05-23,8.5e-05,27226.8558763881
367,2023-05-24,0.000107,26341.4306446522
368,2023-05-25,6.4e-05,26484.8359234366
369,2023-05-26,7e-05,26720.3838071303
370,2023-05-27,2.4e-05,26854.5403702513
371,2023-05-28,6.5e-05,28097.5211259497
372,2023-05-29,7.4e-05,27765.0728693746
373,2023-05-30,6.7e-05,27712.4915844535
374,2023-05-31,5.8e-05,27217.6832580362
375,2023-06-01,3e-05,26825.3713451198
376,2023-06-02,7.1e-05,27255.2279941555
377,2023-06-03,9.1e-05,27079.4084643483
378,2023-06-04,5.6e-05,27158.25456955
379,2023-06-05,8.5e-05,25785.8514842198
380,2023-06-06,8.5e-05,27213.7705187025
381,2023-06-07,0.000103,26339.5790292227
382,2023-06-08,5.7e-05,26521.693600526
383,2023-06-09,6.9e-05,26470.6775780245
384,2023-06-10,9.3e-05,25863.2138506721
385,2023-06-11,5.5e-05,25906.8281516657
386,2023-06-12,8.2e-05,25906.7519354179
387,2023-06-13,8.6e-05,25880.8599734074
388,2023-06-14,2.5e-05,25097.5853796026
389,2023-06-15,1e-06,25559.1433293396
390,2023-06-16,5.5e-05,26331.8200943892
391,2023-06-17,4e-05,26514.1713495032
392,2023-06-18,4.4e-05,26353.962682934
393,2023-06-19,6.5e-05,26778.0634415547
394,2023-06-20,4.7e-05,28305.4204573349
395,2023-06-21,1.1e-05,30099.5153509643
396,2023-06-22,0.000139,29952.5112866745
397,2023-06-23,8.5e-05,30638.3537644652
398,2023-06-24,9.5e-05,30549.0162872589
399,2023-06-25,9.9e-05,30467.4403705435
400,2023-06-26,0.000112,30255.8861241964
401,2023-06-27,9.4e-05,30667.0762948568
402,2023-06-28,7.5e-05,30104.0432717709
403,2023-06-29,7.1e-05,30460.792978083
404,2023-06-30,0.000103,30484.503257744
405,2023-07-01,9.8e-05,30581.6889655172
406,2023-07-02,0.000103,30594.2164736996
407,2023-07-03,9.7e-05,31135.3575993571
408,2023-07-04,0.000105,30799.9474558738
409,2023-07-05,9.7e-05,30497.8221282876
410,2023-07-06,6.7e-05,29979.7298094681
411,2023-07-07,2.5e-05,30329.8829786674
412,2023-07-08,2.5e-05,30263.6196341321
413,2023-07-09,4.7e-05,30163.2210563998
414,2023-07-10,2.1e-05,30394.6555806546
415,2023-07-11,6e-05,30616.247094097
416,2023-07-12,8.5e-05,30385.6087852133
417,2023-07-13,1.5e-05,31434.7354704851
418,2023-07-14,0.00012,30310.6720204559
419,2023-07-15,-3.3e-05,30290.8905958504
420,2023-07-16,2.1e-05,30249.7729658095
421,2023-07-17,3.7e-05,30143.7462744009
422,2023-07-18,2.7e-05,29835.7474076563
423,2023-07-19,8.2e-05,29913.0294646406
424,2023-07-20,2.5e-05,29805.6065707189
425,2023-07-21,2.9e-05,29919.6934921099
426,2023-07-22,4e-06,29726.0096271186
427,2023-07-23,4.9e-05,30066.5724482759
428,2023-07-24,5.3e-05,29178.3597042665
429,2023-07-25,7.8e-05,29221.2548533022
430,2023-07-26,4.6e-05,29361.5917580362
431,2023-07-27,2.1e-05,29201.6865175336
432,2023-07-28,4.8e-05,29316.3130751023
433,2023-07-29,9.3e-05,29360.376179135
434,2023-07-30,6.3e-05,29262.8367337814
435,2023-07-31,2.2e-05,29219.8201887785
436,2023-08-01,8e-05,29499.5875385739
437,2023-08-02,9.1e-05,29143.1519620105
438,2023-08-03,9.7e-05,29192.3448617767
439,2023-08-04,9e-05,29057.2532437171
440,2023-08-05,6e-05,29053.0956975453
441,2023-08-06,0.000101,29048.0433275862
442,2023-08-07,0.000103,29164.3585873758
443,2023-08-08,9.9e-05,29779.511383986
444,2023-08-09,3.9e-05,29582.9442375804
445,2023-08-10,9.9e-05,29430.1599117475
446,2023-08-11,8.3e-05,29399.784739626
447,2023-08-12,0.000105,29415.733902104
448,2023-08-13,9.8e-05,29286.1176110462
449,2023-08-14,0.00011,29408.9717127411
450,2023-08-15,9.1e-05,29167.59721654
451,2023-08-16,0.000108,28754.2924079486
452,2023-08-17,0.000108,26660.5627264757
453,2023-08-18,0.000108,26037.3658474576
454,2023-08-19,-1e-05,26093.981808007
455,2023-08-20,-8e-06,26176.4721642315
456,2023-08-21,-3.6e-05,26128.9050160725
457,2023-08-22,3e-06,25978.2096914085
458,2023-08-23,2.7e-05,26452.1935882525
459,2023-08-24,-3.4e-05,26126.7943331385
460,2023-08-25,2.5e-05,26040.881255114
461,2023-08-26,3.1e-05,26006.1740800701
462,2023-08-27,3.1e-05,26086.3612594974
