datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2023-03-31,28514.6813062537,19333696,551294181194.3245,381853203768.82745,0.3073512893940216,15126048.191748908,1044871.0,63.0,Greed,18032.0,154043793.3014151
2023-04-01,28494.5638863238,19334571,550930169855.5913,382026797468.652,0.30657854956683883,4526256.486592552,1047870.0,61.0,Greed,18032.0,153607033.49250185
2023-04-02,28161.9980362361,19335502,544526377660.6107,382095028391.8816,0.29829840377350536,2630964.3332249518,1015069.0,63.0,Greed,18032.0,149623966.39805475
2023-04-03,27850.9799436002,19336321,538535489606.5007,382202977813.3079,0.29029193954779553,7126617.517887218,975912.0,63.0,Greed,18032.0,150833478.68336678
2023-04-04,28113.9585187025,19337333,543648993145.6279,382366199645.9512,0.29666714283139256,9749023.748092221,1126607.0,62.0,Greed,18032.0,154417171.25106716
2023-04-05,28190.3116063705,19338202,545149948602.26044,382702573994.11206,0.29798659070711836,12376757.447828969,962257.0,62.0,Greed,18032.0,151561911.26778662
2023-04-06,28049.0744763296,19339202,542446725484.44476,382775649223.9984,0.2943534705972247,10060211.64058622,1038298.0,63.0,Greed,18004.0,151408237.51419267
2023-04-07,27936.8042609585,19340089,540300302991.46466,382708111584.6083,0.29167518606656406,8053178.62285447,974883.0,64.0,Greed,18004.0,151812503.5276153
2023-04-08,27964.0512498539,19341008,540852954175.4301,382769575307.13873,0.2922853201556439,2215167.4426212204,873000.0,61.0,Greed,18004.0,152146992.8602731
2023-04-09,28357.8072703098,19341921,548494469230.83563,382842313995.9447,0.302012444113043,1663833.7319170942,936841.0,61.0,Greed,18004.0,153545896.16846615
2023-04-10,29687.5651846873,19342689,574237364135.3862,383248738104.3553,0.3325952610530619,7768798.9805228915,948055.0,62.0,Greed,18004.0,162701306.50162205
2023-04-11,30247.0959193454,19343652,585089306396.4524,383947597022.5584,0.3437795002829906,20554568.399918042,1160423.0,68.0,Greed,18004.0,162439341.6689628
2023-04-12,29913.0035463472,19344652,578656652702.3198,384048711432.2053,0.3363098658959466,18744786.267063513,1046999.0,65.0,Greed,18004.0,163060314.54422927
2023-04-13,30370.82207218,19345539,587539947003.3406,384414699269.1271,0.3457215952212669,8517511.528147498,1020561.0,61.0,Greed,18032.0,167213986.01844522
2023-04-14,30458.9700414962,19346414,589271868650.3793,384831145953.7435,0.3469378627642115,12749764.434414452,1016870.0,68.0,Greed,18032.0,165209906.9118718
2023-04-15,30342.0591084161,19347402,587040024028.3141,384919494132.5359,0.34430451353011926,3438022.565904033,1052383.0,68.0,Greed,18032.0,164837131.64475712
2023-04-16,30312.9308533022,19348177,586499960479.8864,385017480111.5271,0.3435336640150873,3357583.480156463,838013.0,68.0,Greed,18032.0,162827277.23336196
2023-04-17,29469.5050727645,19349146,570209757525.9329,385002330733.4329,0.32480578304392976,6650646.686186196,987873.0,69.0,Greed,18032.0,161223299.2504204
2023-04-18,30366.8723813559,19350183,587604554265.946,385380704146.34894,0.3441495622378582,5851901.236847222,1149961.0,58.0,Greed,18032.0,165128356.96724513
2023-04-19,28796.7440952659,19351052,557247300912.3866,385535833078.3841,0.3081423051360816,27228242.680831257,994818.0,63.0,Greed,18032.0,156794212.84698018
2023-04-20,28251.2763790181,19351883,546715410483.5472,385511707813.7183,0.2948585307431719,5152158.208261785,953756.0,52.0,Neutral,18070.0,151843732.2385667
2023-04-21,27292.0211052016,19352789,528176747528.87756,385525086049.7903,0.2700831911788921,6762747.212156808,1036355.0,50.0,Neutral,18070.0,147537407.40916643
