Date,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,funding_rate
2021-10-21,66002.234375,66600.546875,62117.410156,62210.171875,62210.171875,45908121370,0.00068927
2021-10-29,60624.871094,62927.609375,60329.964844,62227.964844,62227.964844,36856881767,0.0002352
2021-10-30,62239.363281,62330.144531,60918.386719,61888.832031,61888.832031,32157938616,0.00016972
2021-11-02,60963.253906,64242.792969,60673.054688,63226.402344,63226.402344,37746665647,0.00015524
2021-11-05,61460.078125,62541.46875,60844.609375,61125.675781,61125.675781,30605102446,0.00018372
2021-11-09,67549.734375,68530.335938,66382.0625,66971.828125,66971.828125,42357991721,0.00038683
2021-11-10,66953.335938,68789.625,63208.113281,64995.230469,64995.230469,48730828378,0.00037679
2021-11-12,64863.980469,65460.816406,62333.914063,64155.941406,64155.941406,36084893887,0.00018008
2021-11-13,64158.121094,64915.675781,63303.734375,64469.527344,64469.527344,30474228777,0.00015442
2021-11-16,63721.195313,63721.195313,59016.335938,60161.246094,60161.246094,46844335592,0.00035998
2021-11-19,56896.128906,58351.113281,55705.179688,58119.578125,58119.578125,38702407772,0.0001
2021-11-21,59730.507813,60004.425781,58618.929688,58730.476563,58730.476563,26123447605,0.0001
2021-11-25,57165.417969,59367.96875,57146.683594,57274.679688,57274.679688,34284016248,0.00014549
2021-11-26,58960.285156,59183.480469,53569.765625,53569.765625,53569.765625,41810748221,0.00013863
2021-11-30,57830.113281,59113.402344,56057.28125,57005.425781,57005.425781,36708594618,0.0002781
2021-12-01,56907.964844,59041.683594,56553.082031,57229.828125,57229.828125,36858195307,0.00012689
2021-12-02,57217.371094,57349.234375,55895.132813,56477.816406,56477.816406,32379968686,0.00015951
2021-12-08,50667.648438,51171.375,48765.988281,50504.796875,50504.796875,28479699446,0.0001
2021-12-10,47642.144531,50015.253906,47023.699219,47243.304688,47243.304688,30966005122,0.0001
2021-12-15,48379.753906,49473.957031,46671.964844,48896.722656,48896.722656,36541828520,0.0001
2021-12-17,47653.730469,48004.894531,45618.214844,46202.144531,46202.144531,32902725329,0.0001
