Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,realized_volatility,exchange_netflow_proxy,funding_rate_proxy,macro_interaction_proxy
2020-02-13,10218.0997373046,829739,1.08618694398028e+20,2784000.0,612696514,6.67727646221751e+22,35.47858608,4181100.5714285714,148.380005,29.120001,16.459999,337.059998,143.919998,26.77,2.068985713,14,0.021548770966279968,0.001354241424654164,0.0016266915861973454,50012.96418854
2020-02-14,10367.5279981077,729015,1.03838490790264e+20,2782312.5,613097807,6.67727646221751e+22,32.17258486,4179512.142857143,149.0,28.98,16.559998999999998,337.600006,144.550003,26.76,2.068985713,14,0.02076322447368671,0.0011890680274444369,0.0015551024639734543,50302.400894
2020-02-15,9926.353690569,755095,1.10312991708828e+20,2780537.5,613497870,6.67727646221751e+22,28.54821404,4177923.7142857136,149.0,28.98,16.559998999999998,337.600006,144.550003,26.76,2.068985713,14,0.02472383763471385,0.0012308029692099827,0.001652065663793008,50302.400894
2020-02-16,9876.2349632052,639998,1.12168702326352e+20,2778762.5,613833744,6.67727646221751e+22,21.59936997,4176335.2857142864,149.0,28.98,16.559998999999998,337.600006,144.550003,26.76,2.068985713,14,0.024844927162465037,0.0010426243364033763,0.0016798570938472272,50302.400894
2020-02-17,9636.6240948155,776163,1.18219200533188e+20,2776800.0,614245308,6.67727646221751e+22,25.29770103,4174746.857142857,149.0,28.98,16.559998999999998,337.600006,144.550003,26.76,2.068985713,14,0.02564901899373081,0.0012636042797416044,0.0017704703587175968,50302.400894
2020-02-18,10189.9959829746,784418,1.16242452687042e+20,2774925.0,614653855,6.67727646221751e+22,30.12812537,4173158.4285714286,150.910004,28.76,17.01,336.730011,145.53999299999995,26.860001,2.068985713,14,0.02895204118402694,0.0012761947128762416,0.001740866255048516,50815.92730693004
2020-02-19,9701.0371914987,791501,1.0890515797072e+20,2773162.5,615065160,6.67727646221751e+22,31.4285617,4171570.0,151.78999299999995,29.129999,17.23,338.339996,145.529999,26.91,2.068985713,14,0.030160012894307368,0.0012868571518503827,0.001630981712183785,51356.62562446001
2020-02-20,9631.4849459561,766663,9.75994842684601e+19,2771587.5,615463205,6.67727646221751e+22,27.79666259,4169722.4285714286,152.410004,29.1,17.139999,336.950012,146.669998,26.99,2.068985713,14,0.030186372602411006,0.0012456682930379241,0.0014616660673062427,51354.55267672004
2020-02-21,9670.8586543715,770775,1.19619907773195e+20,2769662.5,615873032,6.67727646221751e+22,23.54449483,4167874.857142857,154.699997,28.700001,17.280001000000002,333.480011,148.03999299999995,26.83,2.068985713,14,0.030020157484225558,0.0012515160754757646,0.0017914475827090356,51589.35670125997
2020-02-22,9689.0867428481,677136,1.13145670629043e+20,2767812.5,616251721,6.67727646221751e+22,18.32436669,4166027.2857142864,154.699997,28.700001,17.280001000000002,333.480011,148.03999299999995,26.83,2.068985713,14,0.029753217793202186,0.0010987977427490219,0.0016944883332188337,51589.35670125997
2020-02-23,9919.5514478418,608575,1.11523554179591e+20,2766037.5,616582886,6.67727646221751e+22,16.62073804,4164179.7142857136,154.699997,28.700001,17.280001000000002,333.480011,148.03999299999995,26.83,2.068985713,14,0.029940282774514448,0.0009870124744266742,0.0016701952481768929,51589.35670125997
2020-02-24,9640.4695050585,759274,1.07228224681693e+20,2764275.0,616982221,6.67727646221751e+22,22.9242627,4162332.142857143,156.089996,27.35,17.4,322.420013,150.25,26.84,2.068985713,14,0.029877585367699487,0.0012306254121380914,0.0016058676810587341,50326.53853948995
2020-02-25,9392.8696287195,736782,1.12141206044543e+20,2762475.0,617385497,6.65157867420407e+22,24.54482939,4160484.5714285714,153.300003,26.139999,16.709999,312.649994,151.050003,26.76,2.068985713,14,0.02802791054161199,0.0011933905211252477,0.0016859336938980407,47929.24501814998
2020-02-26,8787.9783631624,773379,1.05553510967277e+20,2760775.0,617795947,6.65157867420407e+22,29.29911468,4158637.0,153.970001,25.35,16.68,311.5,150.25,26.780001,2.068985713,14,0.03170921490776615,0.0012518356647619768,0.0015868941214907538,47961.6553115
2020-02-27,8784.9953524383,779052,1.14221539309845e+20,2758937.5,618206943,6.65157867420407e+22,26.95964399,4170475.5714285714,154.0,23.93,16.469998999999998,297.51001,151.880005,26.620001,2.068985713,14,0.03184367480194986,0.0012601799588653278,0.0017172094761926993,45816.541540000006
2020-02-28,8778.470510802099,797710,1.1851565592993e+20,2756962.5,618646967,6.65157867420407e+22,26.28258744,4182314.142857143,148.380005,24.299999,15.53,296.26001,155.309998,26.530001,2.068985713,14,0.031164510069851128,0.0012894429982714195,0.0017817673327619721,43959.06176510006
2020-02-29,8639.5914172977,673533,1.07292241852363e+20,2755225.0,619016107,6.65157867420407e+22,18.50395585,4194152.7142857136,148.380005,24.299999,15.53,296.26001,155.309998,26.530001,2.068985713,14,0.02985817470443097,0.001088070233364703,0.001613034245065163,43959.06176510006
2020-03-01,8548.9483224221,671761,1.37317108555614e+20,2753012.5,619382171,6.65157867420407e+22,14.44661165,4205991.285714285,148.380005,24.299999,15.53,296.26001,155.309998,26.530001,1.691845701,19,0.029825535204712737,0.001084566252392176,0.0020644288413538972,43959.06176510006
